city_code_external,city_name_local_language,city_name_English,province_code,province_name_local_language,province_name_English,ISO_country_code,country_name_local_language,country_name_English
511000000000,内江市,,510000000000,四川省,,CN,中国,China
511100000000,乐山市,,510000000000,四川省,,CN,中国,China
511300000000,南充市,,510000000000,四川省,,CN,中国,China
511400000000,眉山市,,510000000000,四川省,,CN,中国,China
511500000000,宜宾市,,510000000000,四川省,,CN,中国,China
511600000000,广安市,,510000000000,四川省,,CN,中国,China
511700000000,达州市,,510000000000,四川省,,CN,中国,China
511800000000,雅安市,,510000000000,四川省,,CN,中国,China
511900000000,巴中市,,510000000000,四川省,,CN,中国,China
512000000000,资阳市,,510000000000,四川省,,CN,中国,China
513200000000,阿坝藏族羌族自治州,,510000000000,四川省,,CN,中国,China
513300000000,甘孜藏族自治州,,510000000000,四川省,,CN,中国,China
513400000000,凉山彝族自治州,,510000000000,四川省,,CN,中国,China
520100000000,贵阳市,,520000000000,贵州省,,CN,中国,China
520200000000,六盘水市,,520000000000,贵州省,,CN,中国,China
520300000000,遵义市,,520000000000,贵州省,,CN,中国,China
520400000000,安顺市,,520000000000,贵州省,,CN,中国,China
520500000000,毕节市,,520000000000,贵州省,,CN,中国,China
520600000000,铜仁市,,520000000000,贵州省,,CN,中国,China
522300000000,黔西南布依族苗族自治州,,520000000000,贵州省,,CN,中国,China
522600000000,黔东南苗族侗族自治州,,520000000000,贵州省,,CN,中国,China
522700000000,黔南布依族苗族自治州,,520000000000,贵州省,,CN,中国,China
530100000000,昆明市,,530000000000,云南省,,CN,中国,China
530300000000,曲靖市,,530000000000,云南省,,CN,中国,China
530400000000,玉溪市,,530000000000,云南省,,CN,中国,China
530500000000,保山市,,530000000000,云南省,,CN,中国,China
530600000000,昭通市,,530000000000,云南省,,CN,中国,China
530700000000,丽江市,,530000000000,云南省,,CN,中国,China
530800000000,普洱市,,530000000000,云南省,,CN,中国,China
530900000000,临沧市,,530000000000,云南省,,CN,中国,China
532300000000,楚雄彝族自治州,,530000000000,云南省,,CN,中国,China
532500000000,红河哈尼族彝族自治州,,530000000000,云南省,,CN,中国,China
532600000000,文山壮族苗族自治州,,530000000000,云南省,,CN,中国,China
532800000000,西双版纳傣族自治州,,530000000000,云南省,,CN,中国,China
532900000000,大理白族自治州,,530000000000,云南省,,CN,中国,China
