a,,,,,,,,(No column name),corder_type
2001173945000680 ,#N/A,,,,,,,,
2001173945000690 ,#N/A,,,,,,,,
2001173945000700 ,#N/A,,,,,,,,
2001173945000710 ,#N/A,,,,,,,,
2001173945000720 ,#N/A,,,,,,,,
2001173945000730 ,#N/A,,,,,,,,
2001173945000740 ,#N/A,,,,,,,,
2001173945000750 ,#N/A,,,,,,,,
2001173945000760 ,#N/A,,,,,,,,
2001173945000770 ,#N/A,,,,,,,,
2001173945000780 ,#N/A,,,,,,,,
2001173945000790 ,#N/A,,,,,,,,
2001173945000800 ,#N/A,,,,,,,,
2001173945000810 ,#N/A,,,,,,,,
2001173945000820 ,#N/A,,,,,,,,
2001173945000830 ,#N/A,,,,,,,,
2001173945000840 ,#N/A,,,,,,,,
2001173945000850 ,#N/A,,,,,,,,
2001173945000860 ,#N/A,,,,,,,,
2001173945000870 ,#N/A,,,,,,,,
2001173945000880 ,#N/A,,,,,,,,
2001173945000890 ,#N/A,,,,,,,,
2001173945000900 ,#N/A,,,,,,,,
2001173945000910 ,#N/A,,,,,,,,
2001173945000920 ,#N/A,,,,,,,,
2001173945000930 ,#N/A,,,,,,,,
2001173945000940 ,#N/A,,,,,,,,
2001173945000950 ,#N/A,,,,,,,,
2001173945000960 ,#N/A,,,,,,,,
2001173945000970 ,#N/A,,,,,,,,
2001173945000980 ,#N/A,,,,,,,,
2001173945000990 ,#N/A,,,,,,,,
2001173945001000 ,#N/A,,,,,,,,
2001173945001010 ,#N/A,,,,,,,,
2001173945001020 ,#N/A,,,,,,,,
2001173945001030 ,#N/A,,,,,,,,
2001173945001040 ,#N/A,,,,,,,,
2001173945001050 ,#N/A,,,,,,,,
2001173945001060 ,#N/A,,,,,,,,
2001173945001070 ,#N/A,,,,,,,,
2001173945001080 ,#N/A,,,,,,,,
2001173945001090 ,#N/A,,,,,,,,
2001173945001100 ,#N/A,,,,,,,,
2001173945001110 ,#N/A,,,,,,,,
2001173945001120 ,#N/A,,,,,,,,
2001173945001130 ,#N/A,,,,,,,,
2001173945001140 ,#N/A,,,,,,,,
2001173945001150 ,#N/A,,,,,,,,
2001173945001160 ,#N/A,,,,,,,,
2001173945001170 ,#N/A,,,,,,,,
2001173945001180 ,#N/A,,,,,,,,
2001173945001190 ,#N/A,,,,,,,,
2001173945001200 ,#N/A,,,,,,,,
2001173945001210 ,#N/A,,,,,,,,
2001173945001220 ,#N/A,,,,,,,,
2001173945001230 ,#N/A,,,,,,,,
2001173945001240 ,#N/A,,,,,,,,
2001173945001250 ,#N/A,,,,,,,,
2001173945001260 ,#N/A,,,,,,,,
2001173945001270 ,#N/A,,,,,,,,
2001173945001280 ,#N/A,,,,,,,,
2001173945001290 ,#N/A,,,,,,,,
2001173945001300 ,#N/A,,,,,,,,
2001173945001310 ,#N/A,,,,,,,,
2001173945001320 ,#N/A,,,,,,,,
2001173945001330 ,#N/A,,,,,,,,
2001173945001340 ,#N/A,,,,,,,,
2001173945001350 ,#N/A,,,,,,,,
2001173945001360 ,#N/A,,,,,,,,
2001173945001370 ,#N/A,,,,,,,,
2001173945001380 ,#N/A,,,,,,,,
2001173945001390 ,#N/A,,,,,,,,
2001173945001400 ,#N/A,,,,,,,,
2001173945001410 ,#N/A,,,,,,,,
2001173945001420 ,#N/A,,,,,,,,
2001173945001430 ,#N/A,,,,,,,,
2001173945001440 ,#N/A,,,,,,,,
2001173945001450 ,#N/A,,,,,,,,
2001173945001460 ,#N/A,,,,,,,,
2001173945001470 ,#N/A,,,,,,,,
2001173945001480 ,#N/A,,,,,,,,
2001173945001490 ,#N/A,,,,,,,,
2001173945001500 ,#N/A,,,,,,,,
2001173946000010 ,#N/A,,,,,,,,
2001173946000020 ,#N/A,,,,,,,,
2001173946000030 ,#N/A,,,,,,,,
2001173946000040 ,#N/A,,,,,,,,
2001173946000050 ,2001173946000050 ,,,,,,,,
2001173946000060 ,2001173946000060 ,,,,,,,,
2001173946000070 ,#N/A,,,,,,,,
2001173946000080 ,#N/A,,,,,,,,
2001173946000090 ,#N/A,,,,,,,,
2001173946000100 ,2001173946000100 ,,,,,,,,
2001173947000010 ,#N/A,,,,,,,,
2001173948000010 ,2001173948000010 ,,,,,,,,
2001173948000020 ,2001173948000020 ,,,,,,,,
